Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Kingdom Hearts| https://www.vgchartz.com/game/71760/kingdom-hearts-hd-i5-remix/| 2013| Misc| Square Enix| 0.93| 0.40| 0.25| 0.28| 1.85| PlayStation 3
Watch Dogs| https://www.vgchartz.com/game/70777/watch-dogs/| 2014| Action-Adventure| Ubisoft| 0.56| 0.89| 0.10| 0.28| 1.83| PlayStation 3
Demon's Soul| https://www.vgchartz.com/game/31689/demons-souls/| 2009| Role-Playing| Sony Computer Entertainment| 0.97| 0.34| 0.35| 0.17| 1.83| PlayStation 3
BioShock Infinite| https://www.vgchartz.com/game/46736/bioshock-infinite/| 2013| Shooter| 2K Games| 0.74| 0.74| 0.04| 0.30| 1.82| PlayStation 3
NBA 2K11| https://www.vgchartz.com/game/45346/nba-2k11/| 2010| Sports| 2K Sports| 1.41| 0.21| 0.03| 0.16| 1.81| PlayStation 3
UFC 2009 Undisputed| https://www.vgchartz.com/game/24581/ufc-2009-undisputed/| 2009| Fighting| THQ| 1.07| 0.45| 0.01| 0.24| 1.76| PlayStation 3
Dragon's Dogma| https://www.vgchartz.com/game/50852/dragons-dogma/| 2012| Role-Playing| Capcom| 0.41| 0.48| 0.72| 0.16| 1.76| PlayStation 3
Just Cause 2| https://www.vgchartz.com/game/24231/just-cause-2/| 2010| Action| Square Enix| 0.45| 0.92| 0.06| 0.32| 1.75| PlayStation 3
FIFA 08| https://www.vgchartz.com/game/7547/fifa-soccer-08/| 2007| Sports| EA Sports| 0.35| 1.07| 0.02| 0.31| 1.75| PlayStation 3
Portal 2| https://www.vgchartz.com/game/44579/portal-2/| 2011| Shooter| Valve| 0.83| 0.62| 0.02| 0.24| 1.71| PlayStation 3
Beyond: Two Souls| https://www.vgchartz.com/game/70779/beyond-two-souls/| 2013| Adventure| Sony Computer Entertainment| 0.52| 0.86| 0.06| 0.26| 1.70| PlayStation 3
Saints Row 2| https://www.vgchartz.com/game/18669/saints-row-2/| 2008| Action| THQ| 0.88| 0.54| 0.02| 0.24| 1.68| PlayStation 3
Dragon Age: Origins| https://www.vgchartz.com/game/33502/dragon-age-origins/| 2009| Role-Playing| Electronic Arts| 0.96| 0.42| 0.08| 0.21| 1.67| PlayStation 3
Destiny| https://www.vgchartz.com/game/71152/destiny/| 2014| Shooter| Activision| 0.69| 0.59| 0.13| 0.26| 1.67| PlayStation 3
Fight Night Round 3| https://www.vgchartz.com/game/5107/fight-night-round-3/| 2006| Fighting| EA Sports| 0.81| 0.58| 0.01| 0.26| 1.67| PlayStation 3
Heavenly Sword| https://www.vgchartz.com/game/6978/heavenly-sword/| 2007| Action| Sony Computer Entertainment| 0.57| 0.73| 0.06| 0.29| 1.65| PlayStation 3
Rock Band| https://www.vgchartz.com/game/12846/rock-band/| N/A| Misc| MTV Games| 0.99| 0.41| 0.00| 0.22| 1.62| PlayStation 3
Sonic Generations| https://www.vgchartz.com/game/50911/sonic-generations/| 2011| Platform| Sega| 0.60| 0.72| 0.02| 0.25| 1.59| PlayStation 3
Pro Evolution Soccer 2008| https://www.vgchartz.com/game/12310/pro-evolution-soccer-2008/| 2007| Sports| Konami| 0.04| 1.10| 0.32| 0.13| 1.59| PlayStation 3
Devil May Cry 4| https://www.vgchartz.com/game/7683/devil-may-cry-4/| 2008| Action| Capcom| 0.58| 0.45| 0.34| 0.20| 1.58| PlayStation 3
BioShock 2: Sea of Dreams| https://www.vgchartz.com/game/28004/bioshock-2/| 2010| Shooter| 2K Games| 0.85| 0.46| 0.02| 0.22| 1.55| PlayStation 3
Dishonored| https://www.vgchartz.com/game/52941/dishonored/| 2012| Shooter| Bethesda Softworks| 0.72| 0.54| 0.04| 0.26| 1.55| PlayStation 3
Ninokuni: The Another World| https://www.vgchartz.com/game/45870/ni-no-kuni-wrath-of-the-white-witch/| 2011| Role-Playing| Level 5| 0.60| 0.51| 0.21| 0.22| 1.54| PlayStation 3
Fight Night Round 4| https://www.vgchartz.com/game/21869/fight-night-round-4/| 2009| Fighting| EA Sports| 0.92| 0.40| 0.00| 0.20| 1.52| PlayStation 3
Pro Evolution Soccer 2013| https://www.vgchartz.com/game/70988/pro-evolution-soccer-2013/| 2012| Sports| Konami Digital Entertainment| 0.18| 0.65| 0.49| 0.20| 1.52| PlayStation 3
Call of Duty 3| https://www.vgchartz.com/game/4934/call-of-duty-3/| 2006| Shooter| Activision| 0.60| 0.63| 0.03| 0.26| 1.51| PlayStation 3
Star Wars: The Force Unleashed II| https://www.vgchartz.com/game/41802/star-wars-the-force-unleashed-ii/| 2010| Action| LucasArts| 0.80| 0.50| 0.00| 0.21| 1.51| PlayStation 3
Metal Gear Rising: Revengeance| https://www.vgchartz.com/game/70585/metal-gear-rising-revengeance/| 2013| Action| Konami Digital Entertainment| 0.47| 0.41| 0.44| 0.18| 1.50| PlayStation 3
Rock Band 2| https://www.vgchartz.com/game/24280/rock-band-2/| 2008| Misc| MTV Games| 1.13| 0.20| 0.00| 0.16| 1.50| PlayStation 3
Mafia II| https://www.vgchartz.com/game/21855/mafia-ii/| 2010| Action| 2K Games| 0.50| 0.70| 0.04| 0.25| 1.49| PlayStation 3
Madden NFL 15| https://www.vgchartz.com/game/81572/madden-nfl-15/| 2014| Sports| EA Sports| 1.11| 0.11| 0.00| 0.28| 1.49| PlayStation 3
Resistance 3| https://www.vgchartz.com/game/39894/resistance-3/| 2011| Shooter| Sony Computer Entertainment| 0.64| 0.57| 0.05| 0.22| 1.49| PlayStation 3
Soul Calibur IV| https://www.vgchartz.com/game/14146/soulcalibur-iv/| 2008| Fighting| Namco Bandai| 0.72| 0.40| 0.14| 0.20| 1.47| PlayStation 3
Mass Effect 3| https://www.vgchartz.com/game/44866/mass-effect-3/| 2012| Role-Playing| Electronic Arts| 0.65| 0.58| 0.03| 0.20| 1.46| PlayStation 3
Mass Effect 2| https://www.vgchartz.com/game/46825/mass-effect-2/| 2011| Role-Playing| Electronic Arts| 0.78| 0.46| 0.03| 0.18| 1.46| PlayStation 3
Bioshock| https://www.vgchartz.com/game/22192/bioshock/| 2008| Shooter| 2K Games| 0.75| 0.48| 0.01| 0.21| 1.44| PlayStation 3
Dead Space 2| https://www.vgchartz.com/game/36808/dead-space-2/| 2011| Shooter| Electronic Arts| 0.73| 0.49| 0.00| 0.21| 1.43| PlayStation 3
Medal of Honor: Warfighter| https://www.vgchartz.com/game/70422/medal-of-honor-warfighter/| 2012| Shooter| Electronic Arts| 0.49| 0.64| 0.06| 0.23| 1.42| PlayStation 3
UFC Undisputed 2010| https://www.vgchartz.com/game/41760/ufc-undisputed-2010/| 2010| Fighting| THQ| 0.80| 0.40| 0.02| 0.19| 1.42| PlayStation 3
