platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Nintendo Wii|PopStarGuitar|12|10/09/2008|Y|N|N|N|N|Y|N|N||Dibbit Ltd|Nintendo Wii
Nintendo Wii|Tiger Woods PGA Tour 09|3|08/09/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|WSC Real 08|3|05/09/2008|N|N|N|N|N|N|N|N||Dark Energy Digital|Nintendo Wii
Nintendo Wii|Samba De Amigo|3|05/09/2008|N|N|N|N|N|N|N|N||SEGA Europe Ltd|Nintendo Wii
Nintendo Wii|HELL'S KITCHEN|12|04/09/2008|Y|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|TNA iMPACT! Wrestling|16|04/09/2008|N|N|N|N|N|N|Y|N||Tradewest Games Ltd|Nintendo Wii
Nintendo Wii|Crazy Mini Golf|3|25/08/2008|N|N|N|N|N|N|N|N||Data Design Interactive Limited|Nintendo Wii
Nintendo Wii|Super Swing Golf|3|22/08/2008|N|N|N|N|N|N|N|N||Rising Star Games Ltd|Nintendo Wii
Nintendo Wii|Ferrari Challenge|3|12/09/2008|N|N|N|N|N|N|N|N||SYSTEM 3 LTD|Nintendo Wii
Nintendo Wii|Meine Tierarztpraxis|3|12/09/2008|N|N|N|N|N|N|N|N||Treva Entertainment Gmbh|Nintendo Wii
Nintendo Wii|PopStarGuitar|12|10/09/2008|Y|N|N|N|N|Y|N|N||Dibbit Ltd|Nintendo Wii
Nintendo Wii|Tiger Woods PGA Tour 09|3|08/09/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|WSC Real 08|3|05/09/2008|N|N|N|N|N|N|N|N||Dark Energy Digital|Nintendo Wii
Nintendo Wii|Samba De Amigo|3|05/09/2008|N|N|N|N|N|N|N|N||SEGA Europe Ltd|Nintendo Wii
Nintendo Wii|HELL'S KITCHEN|12|04/09/2008|Y|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|TNA iMPACT! Wrestling|16|04/09/2008|N|N|N|N|N|N|Y|N||Tradewest Games Ltd|Nintendo Wii
Nintendo Wii|Crazy Mini Golf|3|25/08/2008|N|N|N|N|N|N|N|N||Data Design Interactive Limited|Nintendo Wii
Nintendo Wii|Super Swing Golf|3|22/08/2008|N|N|N|N|N|N|N|N||Rising Star Games Ltd|Nintendo Wii
Nintendo Wii|Family Ski|3|13/06/2008|N|N|N|N|N|N|N|N||Nintendo of Europe GmbH|Nintendo Wii
Nintendo Wii|Hannah Montana Spotlight World Tour|3|12/06/2008|N|N|N|N|N|N|N|N||The Walt Disney Company Ltd|Nintendo Wii
Nintendo Wii|Okami|12|06/06/2008|Y|N|N|N|N|N|Y|N||CE Europe Ltd.|Nintendo Wii
Nintendo Wii|Emergency Heroes|7|05/06/2008|N|N|N|N|N|N|Y|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Sports island|3|05/06/2008|N|N|N|N|N|N|N|N||Konami Digital Entertainment BV|Nintendo Wii
Nintendo Wii|Pimp My Ride|12|30/05/2008|Y|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Monster Jam|7|30/05/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Death Jr.: Root of Evil|12|30/05/2008|Y|N|N|N|N|Y|Y|N||Eidos Interactive|Nintendo Wii
Nintendo Wii|Pop|3|29/05/2008|N|N|N|N|N|N|N|N||Nnooo|Nintendo Wii
Nintendo Wii|Dream Pinball 3D|3|20/05/2008|N|N|N|N|N|N|N|N||TopWare Interactive AG.|Nintendo Wii
Nintendo Wii|Family Ski|3|13/06/2008|N|N|N|N|N|N|N|N||Nintendo of Europe GmbH|Nintendo Wii
Nintendo Wii|Hannah Montana Spotlight World Tour|3|12/06/2008|N|N|N|N|N|N|N|N||The Walt Disney Company Ltd|Nintendo Wii
Nintendo Wii|Okami|12|06/06/2008|Y|N|N|N|N|N|Y|N||CE Europe Ltd.|Nintendo Wii
Nintendo Wii|Emergency Heroes|7|05/06/2008|N|N|N|N|N|N|Y|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Sports island|3|05/06/2008|N|N|N|N|N|N|N|N||Konami Digital Entertainment BV|Nintendo Wii
Nintendo Wii|Pimp My Ride|12|30/05/2008|Y|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Monster Jam|7|30/05/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
