Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Puyo Puyo Tetris| https://www.vgchartz.com/game/153123/puyo-puyo-tetris/| 2017| Puzzle| Sega| 0.22| 0.18| 0.12| 0.04| 0.55| Nintendo Switch
Dragon Ball: Xenoverse 2| https://www.vgchartz.com/game/161534/dragon-ball-xenoverse-2/| 2017| Action| Namco Bandai Games| 0.17| 0.16| 0.19| 0.03| 0.55| Nintendo Switch
Fire Emblem Warriors| https://www.vgchartz.com/game/155797/fire-emblem-warriors/| 2017| Action| Nintendo| 0.22| 0.14| 0.10| 0.04| 0.51| Nintendo Switch
Sonic Mania| https://www.vgchartz.com/game/161485/sonic-mania/| 2017| Platform| Sega| 0.23| 0.18| 0.01| 0.04| 0.47| Nintendo Switch
Minecraft: Story Mode| https://www.vgchartz.com/game/161519/minecraft-story-mode-the-complete-adventure/| 2017| Adventure| Telltale Games| 0.27| 0.15| 0.00| 0.04| 0.46| Nintendo Switch
L.A. Noire| https://www.vgchartz.com/game/202280/la-noire/| 2017| Adventure| Rockstar Games| 0.21| 0.21| 0.00| 0.04| 0.45| Nintendo Switch
NBA 2K18| https://www.vgchartz.com/game/174556/nba-2k18/| 2017| Sports| 2K Sports| 0.30| 0.06| 0.03| 0.04| 0.43| Nintendo Switch
Doom (2016)| https://www.vgchartz.com/game/203409/doom-2016/| 2017| Shooter| Bethesda Softworks| 0.24| 0.15| 0.01| 0.04| 0.43| Nintendo Switch
Rocket League| https://www.vgchartz.com/game/182724/rocket-league/| 2018| Sports| 505 Games| 0.21| 0.16| 0.00| 0.03| 0.40| Nintendo Switch
The Lego Ninjago Movie Videogame| https://www.vgchartz.com/game/186213/the-lego-ninjago-movie-videogame/| 2017| Action| Warner Bros. Interactive Entertainment| 0.21| 0.15| 0.00| 0.03| 0.40| Nintendo Switch
Disgaea 5 Complete| https://www.vgchartz.com/game/156625/disgaea-5-complete/| 2017| Role-Playing| NIS America| 0.15| 0.11| 0.05| 0.02| 0.34| Nintendo Switch
Cars 3: Driven to Win| https://www.vgchartz.com/game/166963/cars-3-driven-to-win/| 2017| Racing| Warner Bros. Interactive Entertainment| 0.13| 0.14| 0.02| 0.02| 0.32| Nintendo Switch
Monopoly for Nintendo Switch| https://www.vgchartz.com/game/215431/monopoly-for-nintendo-switch/| 2017| Board Game| Ubisoft| 0.06| 0.22| 0.01| 0.02| 0.30| Nintendo Switch
Just Dance 2017| https://www.vgchartz.com/game/119956/just-dance-2017/| 2017| Music| Ubisoft| 0.07| 0.20| 0.00| 0.02| 0.29| Nintendo Switch
The Binding of Isaac| https://www.vgchartz.com/game/153121/the-binding-of-isaac-afterbirth/| 2017| Action| Nicalis| 0.17| 0.08| 0.00| 0.03| 0.28| Nintendo Switch
Resident Evil: Revelations| https://www.vgchartz.com/game/195581/resident-evil-revelations-collection/| 2017| Action| Capcom| 0.18| 0.00| 0.07| 0.02| 0.27| Nintendo Switch
WWE 2K18| https://www.vgchartz.com/game/189446/wwe-2k18/| 2017| Sports| 2K Sports| 0.14| 0.08| 0.00| 0.02| 0.23| Nintendo Switch
Attack on Titan 2| https://www.vgchartz.com/game/212038/attack-on-titan-2/| 2018| Action| Koei Tecmo| 0.12| 0.02| 0.08| 0.02| 0.23| Nintendo Switch
