Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Halo: Combat Evolved Anniversary| https://www.vgchartz.com/game/51759/halo-combat-evolved-anniversary/| 2011| Shooter| Microsoft Studios| 1.44| 0.71| 0.04| 0.22| 2.41| Xbox 360
Midnight Club: Los Angeles| https://www.vgchartz.com/game/14168/midnight-club-los-angeles/| 2008| Racing| Rockstar Games| 1.72| 0.45| 0.01| 0.22| 2.40| Xbox 360
Zumba Fitness| https://www.vgchartz.com/game/45639/zumba-fitness/| 2010| Sports| Majesco| 1.74| 0.45| 0.00| 0.20| 2.39| Xbox 360
Dead Island| https://www.vgchartz.com/game/18476/dead-island/| 2011| Action| Deep Silver| 1.48| 0.70| 0.00| 0.21| 2.38| Xbox 360
Madden NFL 08| https://www.vgchartz.com/game/7106/madden-nfl-08/| 2007| Sports| EA Sports| 2.18| 0.01| 0.00| 0.18| 2.37| Xbox 360
Lego Marvel Super Heroes| https://www.vgchartz.com/game/71339/lego-marvel-super-heroes/| 2013| Action| Warner Bros. Interactive Entertainment| 1.26| 0.87| 0.00| 0.21| 2.34| Xbox 360
Kinect Sports 2| https://www.vgchartz.com/game/51392/kinect-sports-season-two/| 2011| Sports| Microsoft Studios| 1.38| 0.72| 0.02| 0.21| 2.33| Xbox 360
Madden NFL 25| https://www.vgchartz.com/game/71986/madden-nfl-25/| N/A| Sports| | 2.02| 0.07| 0.00| 0.25| 2.33| Xbox 360
The Sims 3| https://www.vgchartz.com/game/43344/the-sims-3/| 2010| Simulation| Electronic Arts| 1.28| 0.82| 0.00| 0.20| 2.31| Xbox 360
Guitar Hero II| https://www.vgchartz.com/game/6081/guitar-hero-ii/| 2007| Misc| RedOctane| 2.01| 0.02| 0.00| 0.17| 2.21| Xbox 360
Need for Speed: Hot Pursuit| https://www.vgchartz.com/game/45650/need-for-speed-hot-pursuit/| 2010| Racing| Electronic Arts| 1.03| 0.96| 0.00| 0.21| 2.20| Xbox 360
Rock Band 2| https://www.vgchartz.com/game/24279/rock-band-2/| 2008| Misc| MTV Games| 1.78| 0.24| 0.00| 0.18| 2.20| Xbox 360
BioShock 2: Sea of Dreams| https://www.vgchartz.com/game/28002/bioshock-2/| 2010| Shooter| 2K Games| 1.45| 0.54| 0.02| 0.20| 2.20| Xbox 360
Final Fantasy XIII| https://www.vgchartz.com/game/24628/final-fantasy-xiii/| 2010| Role-Playing| Square Enix| 1.30| 0.67| 0.01| 0.21| 2.19| Xbox 360
Saints Row| https://www.vgchartz.com/game/1962/saints-row/| 2006| Action| THQ| 1.17| 0.77| 0.02| 0.22| 2.18| Xbox 360
